project_name,interview_technology,total,failed,succeed,complexity
Сбер РБ Кошелек Клиента (ФИТ),QA,3,3.0,0.0,1.0
Reuter Gruppe,PROJECT_MANAGEMENT,3,0.0,3.0,0.0
Reuter Gruppe,"NODE_JS,TYPE_SCRIPT",3,0.0,3.0,0.0
Reuter Gruppe,BUSINESS_ANALYST,3,0.0,3.0,0.0
СберМаркет,RUBY,3,2.0,1.0,0.6666666666666666
People Intelligence,REACT,3,1.0,2.0,0.3333333333333333
Уральский банк реконструкции и развития,DRUPAL,3,0.0,3.0,0.0
Уральский банк реконструкции и развития,ORACLE,3,3.0,0.0,1.0
NEXR Technologies SE,NODE_JS,3,2.0,1.0,0.6666666666666666
Alternative Payments PSD2,QA_AUTOMATION_C_SHARP,3,0.0,3.0,0.0
Moonfare,NODE_JS,3,0.0,3.0,0.0
AssetBook LLC2,ANGULAR,3,0.0,3.0,0.0
Уральский банк реконструкции и развития,WEB_DESIGNER,3,0.0,3.0,0.0
IHS Kernel,DATA_SCIENCE_ML,3,3.0,0.0,1.0
Философия ИТ,PYTHON,3,0.0,3.0,0.0
IHS Kernel,NET,3,0.0,3.0,0.0
LigaStavok.TM,FLUTTER,3,3.0,0.0,1.0
Lexop,RUBY,3,3.0,0.0,1.0
JTI (Japan Tobacco International),QA_AUTOMATION_ENGINEER_JS,3,0.0,3.0,0.0
Сбер РБ Кошелек Клиента (ФИТ),DATA_ENGINEER,3,3.0,0.0,1.0
Сбер РБ Кошелек Клиента (ФИТ),ORACLE,3,0.0,3.0,0.0
Softeq Minsk,ANDROID,3,3.0,0.0,1.0
МЦ НТТ - TM (РТК Контакт-центр),BUSINESS_ANALYST,3,0.0,3.0,0.0
МЦ НТТ - TM (РТК Контакт-центр),PROJECT_MANAGEMENT,3,3.0,0.0,1.0
МЦ НТТ - TM (РТК Контакт-центр),QA,3,3.0,0.0,1.0
Compleet,UX_UI,3,3.0,0.0,1.0
Compleet,JAVA,3,3.0,0.0,1.0
МЦ НТТ - TM (РТК Контакт-центр),SYSTEM_ANALYST,3,0.0,3.0,0.0
Softeq Minsk,IOS,3,3.0,0.0,1.0
Манго телеком,KOTLIN,3,3.0,0.0,1.0
Fressnapf Tiernahrungs,"QA_LEAD,QA_MANAGER",3,0.0,3.0,0.0
Fressnapf Tiernahrungs,QA_AUTOMATION_ENGINEER_JAVA,3,0.0,3.0,0.0
Compleet,"PHP,VUE_JS",3,0.0,3.0,0.0
Accenture Russia,SYSTEM_ANALYST,3,0.0,3.0,0.0
СБЕР КИБ Брокерский Бизнес,REACT,3,0.0,3.0,0.0
WorldR,"DEVOPS,DEVSECOPS",3,0.0,3.0,0.0
CHANTELLE,QA,3,0.0,3.0,0.0
Accenture Russia,DATA_ANALYST,3,0.0,3.0,0.0
Bundle,UX_UI,3,0.0,3.0,0.0
Bundle,REACT,3,3.0,0.0,1.0
Bundle,NODE_JS,3,3.0,0.0,1.0
Allianz Partners,DEVOPS,2,1.0,1.0,0.5
Bitmovin GmbH,ANDROID,2,2.0,0.0,1.0
BlueBridge Technologies,QA_AUTOMATION_ENGINEER_JS,2,2.0,0.0,1.0
BlueBridge Technologies,QA_ENGINEER,2,2.0,0.0,1.0
BlueBridge Technologies,QA_AUTOMATION_ENGINEER_PYTHON,2,2.0,0.0,1.0
Comparis,"NET,TYPE_SCRIPT",2,1.0,1.0,0.5
ANIXE,GO,2,2.0,0.0,1.0
Data Lens Labs Ltd,BUSINESS_ANALYST,2,0.0,2.0,0.0
ANIXE,NET,2,2.0,0.0,1.0
Сбер РБ Социальные и зарплатные решения,REACT,2,0.0,2.0,0.0
Centtrip UK,AWS,2,1.0,1.0,0.5
Data Lens Labs Ltd,WEB_DESIGNER,2,0.0,2.0,0.0
ethinking,JAVA,2,0.0,2.0,0.0
Datagile,REACT,2,2.0,0.0,1.0
Team Force,"NODE_REACT,REDUX,TYPE_SCRIPT",2,0.0,2.0,0.0
PropertyGuru Group,QA_AUTOMATION_ENGINEER_JAVA,2,2.0,0.0,1.0
PropertyGuru Group,PYTHON,2,2.0,0.0,1.0
Team Force,ANGULAR,2,2.0,0.0,1.0
PropertyGuru Group,IOS,2,0.0,2.0,0.0
GMCS,REACT,2,2.0,0.0,1.0
GMCS,QA_AUTOMATION_ENGINEER_JAVA,2,0.0,2.0,0.0
Team Force,QA_AUTOMATION,2,2.0,0.0,1.0
Paysera,PROJECT_MANAGER,2,0.0,2.0,0.0
Team Force,QA_AUTOMATION_ENGINEER_JAVA,2,2.0,0.0,1.0
People Intelligence,PYTHON,2,1.0,1.0,0.5
Thryve (mHealth Pioneers GmbH),IOS,2,0.0,2.0,0.0
SchenckONE Machine,WPF,2,0.0,2.0,0.0
Thryve (mHealth Pioneers GmbH),SOFTWARE_ARCHITECT,2,0.0,2.0,0.0
Paysera,QA_MOBILE,2,2.0,0.0,1.0
Qatar National Bank,"JAVA,SPRING",2,0.0,2.0,0.0
Synchtank,PROJECT_MANAGEMENT,2,0.0,2.0,0.0
SupplyStack,SCRUM_MASTER,2,0.0,2.0,0.0
GMCS,SQL,2,2.0,0.0,1.0
SupplyStack,EXT_JS,2,0.0,2.0,0.0
Duftner,IOS,2,0.0,2.0,0.0
RCI Banque S.A. Niederlassung Deutschland,DEVOPS,2,0.0,2.0,0.0
Rezolve,ANDROID,2,0.0,2.0,0.0
Spiromatic,QA_AUTOMATION_C_SHARP,2,0.0,2.0,0.0
Rezolve,PHP,2,0.0,2.0,0.0
Rush Street Interactive,ANDROID,2,0.0,2.0,0.0
Rush Street Interactive,REACT,2,0.0,2.0,0.0
Rush Street Interactive,UX_UI,2,2.0,0.0,1.0
Getsafe,RUBY,2,1.0,1.0,0.5
