,project_name,technology,status
1025,Тинькофф Банк,IOS,0
1027,Moovforge,REACT,0
1029,Тинькофф Банк,JAVA,0
1033,Самолёт Венчурс - Плафторма Самолёт+,SYSTEM_ANALYST,0
1034,Тинькофф Банк,BUSINESS_ANALYST,0
1038,Тинькофф Банк,JAVA,0
1040,Lexop,RUBY,0
1052,Team Force,QA_AUTOMATION_ENGINEER_JAVA,0
1070,Allianz Partners,QA_AUTOMATION_ENGINEER_JAVA,0
1074,People Intelligence,PYTHON,0
1075,Альфа-банк,IOS,0
1077,IHS,NET,0
1090,Rush Street Interactive,UX_UI,0
1091,Банки.ру,PHP,0
1092,Банки.ру,JAVA,0
1097,Allianz Partners,SYSTEM_ANALYST,0
1099,Allianz Partners,QA_AUTOMATION_ENGINEER_JAVA,0
1100,Paysera,QA_AUTOMATION_ENGINEER_JAVA,0
1101,Comparis,REACT,0
1102,Философия ИТ,JAVA,0
1107,Wondersign,NODE_JS,0
1110,River Tech,JAVA,0
1112,Альфа-банк,QA_ENGINEER,0
1115,Альфа-банк,QA_ENGINEER,0
1120,Global Shares Ireland Limited,QA_ENGINEER,0
1121,Team Force,ANGULAR,0
1125,Global Shares Ireland Limited,QA_ENGINEER,0
1126,Global Shares Ireland Limited,QA_ENGINEER,0
1127,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
1129,Global Shares Ireland Limited,QA_ENGINEER,0
1131,BlueBridge Technologies,QA_AUTOMATION_ENGINEER_JS,0
1134,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
1137,River Tech,JAVA,0
1138,Тинькофф Банк,JAVA,0
1139,Тинькофф Банк,JAVA,0
1144,Тинькофф Банк,JAVA,0
1147,NEXR Technologies SE,NODE_JS,0
1148,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
1150,Ингосстрах-Инвестиции,QA_AUTOMATION_ENGINEER_PYTHON,0
1153,JTI (Japan Tobacco International),DEVOPS,0
1155,ANIXE,GO,0
1157,Chrsolutions,NET,0
1168,BlueBridge Technologies,QA_AUTOMATION_ENGINEER_PYTHON,0
1185,Альфа-банк,JAVA,0
1190,Global Shares Ireland Limited,QA_ENGINEER,0
1197,Global Shares Ireland Limited,ANGULAR,0
1199,Global Shares Ireland Limited,QA_AUTOMATION_ENGINEER_JAVA,0
1201,Банки.ру,SYSTEM_ANALYST,0
1204,Тинькофф Банк,JAVA,0
1205,Тинькофф Банк,JAVA,0
1206,Madkhol,NODE_JS,0
1210,Тинькофф Банк,IOS,0
1213,Exness,NODE_JS,0
1215,Альфа-банк,IOS,0
1217,ABB Switzerland Ltd,NET,0
1219,eurofunk,JAVA,0
1225,"Retrain.ai, inc",REACT,0
1235,Ecovium GmbH,NODE_JS,0
1237,BSS Group,QA_ENGINEER,0
1241,Ингосстрах-Инвестиции,QA_AUTOMATION_ENGINEER_PYTHON,0
1245,Альфа-банк,JAVA,0
1246,Data Lens Labs Ltd,REACT,0
1252,Backbase,QA_AUTOMATION_ENGINEER_JAVA,0
1254,Альфа-банк,QA_AUTOMATION_ENGINEER_JAVA,0
1258,Банки.ру,PHP,0
1260,Ингосстрах-Инвестиции,ANDROID,0
